method_id,feature,op,threshold,pre_score,holdout_base_n,holdout_base_roi,removed_wins,removed_losses,safe_n,safe_roi,roi_change,loss_rate_change,confirmed
NFL-H028,oc_prior_win_pct,<=,0.47258225324027914,0.6148548644338117,43,0.23348837209302323,6,6,31,0.26064516129032256,0.02715678919729933,-0.004501125281320295,False
NFL-H004,dc_prior_role_seasons,>=,3.0,1.2775474158368898,34,0.4758823529411765,6,5,23,0.5026086956521738,0.02672634271099733,-0.020460358056266004,False
NFL-H062,hc_prior_games_current_stint,<=,7.75,0.4917136113943162,86,0.1197674418604651,6,8,72,0.14555555555555555,0.025788113695090445,-0.011627906976744207,False
NFL-H036,adv_hc_prior_win_pct,<=,-0.09163876193492916,0.39624209124209114,46,0.17282608695652174,7,8,31,0.19774193548387092,0.024915848527349183,-0.016129032258064502,False
NFL-H001,dc_prior_win_pct,<=,0.43845338983050847,0.6975129544290835,37,0.4289189189189189,3,6,28,0.45249999999999996,0.023581081081081035,-0.014478764478764394,False
NFL-H033,adv_staff_change_count,>=,1.0,0.472049947369128,88,0.16147727272727272,8,10,70,0.18457142857142853,0.023094155844155806,-0.011363636363636354,False
NFL-H033,adv_major_staff_changes,>=,1.0,0.472049947369128,88,0.16147727272727272,8,10,70,0.18457142857142853,0.023094155844155806,-0.011363636363636354,False
NFL-H087,adv_dc_prior_win_pct,<=,-0.26244725738396624,1.0516248488998257,42,0.11047619047619045,2,6,34,0.13264705882352942,0.022170868347338973,-0.014005602240896309,False
NFL-H087,dc_prior_win_pct,<=,0.4175,1.2684111551647603,42,0.11047619047619045,2,6,34,0.1326470588235294,0.022170868347338946,-0.014005602240896309,False
NFL-H042,oc_prior_games,<=,9.5,1.0821153019557275,45,0.152,3,4,38,0.17342105263157892,0.021421052631578924,-0.011111111111111072,False
NFL-H069,dc_prior_games,>=,65.04999999999998,0.3452784128764767,136,0.11845588235294117,16,19,101,0.13851485148514853,0.020058969132207352,-0.004659289458357585,False
NFL-H009,dc_tenure_seasons,>=,3.0,0.5329047363989413,92,0.19532608695652173,10,11,71,0.21380281690140845,0.01847672994488672,-0.007042253521126751,False
NFL-H016,oc_prior_games,>=,61.599999999999994,0.540013465216072,45,0.2613333333333333,3,4,38,0.2794736842105263,0.018140350877193012,-0.01520467836257311,False
NFL-H043,dc_prior_role_seasons,>=,3.5,1.1576605027511055,32,0.1771875,2,3,27,0.19518518518518516,0.017997685185185158,-0.0127314814814814,False
NFL-H014,oc_prior_games,<=,6.75,0.8484203436872059,40,0.33275,2,2,36,0.3491666666666667,0.01641666666666669,-0.005555555555555536,False
NFL-H091,adv_oc_prior_games,>=,53.0,1.0482323232323234,37,0.12810810810810808,2,3,32,0.14406249999999998,0.015954391891891906,-0.00929054054054057,False
NFL-H002,hc_prior_win_pct,>=,0.5875179340028694,0.6683533036164615,47,0.49489361702127654,8,5,34,0.5070588235294117,0.012165206508135129,-0.008760951188986232,False
NFL-H081,adv_dc_prior_games,>=,31.59999999999998,0.950775641025641,38,0.15868421052631582,4,5,29,0.16931034482758617,0.010626134301270351,-0.009074410163339541,False
NFL-H009,adv_oc_tenure_seasons,<=,-1.0,0.4585087577533571,92,0.19532608695652173,17,16,59,0.20237288135593218,0.007046794399410444,0.008474576271186418,False
NFL-H058,adv_full_staff_overhaul,<=,-0.34999999999999964,0.5458065124881404,130,0.13838461538461538,9,11,110,0.14454545454545453,0.006160839160839149,-0.0006993006993007977,False
NFL-H062,oc_prior_role_seasons,>=,2.0,0.5512815670704806,86,0.1197674418604651,19,19,48,0.12520833333333334,0.005440891472868234,0.009205426356589053,False
NFL-H051,adv_both_coords_changed,<=,-0.10000000000000009,1.1325483654518669,50,0.24320000000000003,1,1,48,0.24854166666666666,0.0053416666666666335,0.0,False
NFL-H033,dc_tenure_seasons,>=,3.0,0.6543115156585018,88,0.16147727272727272,10,11,67,0.1661194029850746,0.004642130257801885,-0.003900949796472153,False
NFL-H001,hc_prior_games,<=,13.25,1.0404253968253967,37,0.4289189189189189,3,6,28,0.43321428571428566,0.00429536679536674,-0.014478764478764394,False
NFL-H079,adv_full_staff_stable,>=,1.0,0.9628180562785587,93,0.1241935483870968,3,4,86,0.1280232558139535,0.0038297074268566905,-0.0018754688672166786,False
NFL-H028,adv_oc_prior_win_pct,>=,0.17474082934609253,0.7479411764705883,43,0.23348837209302323,3,3,37,0.23729729729729732,0.0038089252042740884,-0.0018856065367692798,False
NFL-H081,adv_dc_changed_season,>=,1.0,0.8694199411699413,38,0.15868421052631582,1,1,36,0.1608333333333333,0.002149122807017484,0.0014619883040934978,False
