division,market_prob_min,min_height_gap_in,all_n,all_wins,all_win_rate,all_ci_low,all_ci_high,discovery_n,discovery_wins,discovery_win_rate,discovery_ci_low,discovery_ci_high,validation_n,validation_wins,validation_win_rate,validation_ci_low,validation_ci_high
Featherweight,0.7,5,11,8,0.7272727272727273,0.4343497069897537,0.9025411942607853,5,3,0.6,0.23071993220883708,0.8823817688407467,6,5,0.8333333333333334,0.43649056343635395,0.9699474141282697
Featherweight,0.75,1,51,42,0.8235294117647058,0.6974559482722196,0.9042770427419009,32,24,0.75,0.5789310822975338,0.8674775601737845,19,18,0.9473684210526315,0.7536078466345479,0.99064824750947
Featherweight,0.75,2,34,29,0.8529411764705882,0.6987161182594804,0.9355065361737359,20,16,0.8,0.5839782779742401,0.9193436467288,14,13,0.9285714285714286,0.6853073044604219,0.9872781138877085
Featherweight,0.75,3,24,21,0.875,0.6899571185214243,0.9565574496068442,13,11,0.8461538461538461,0.5776482949136899,0.9567427368172621,11,10,0.9090909090909091,0.6226353745137962,0.9837682477371741
Featherweight,0.75,4,13,11,0.8461538461538461,0.5776482949136899,0.9567427368172621,6,4,0.6666666666666666,0.29998832134152864,0.9032306674407831,7,7,1.0,0.6456611570247934,1.0
Featherweight,0.75,5,9,7,0.7777777777777778,0.4525833436728054,0.9367762376877727,5,3,0.6,0.23071993220883708,0.8823817688407467,4,4,1.0,0.5100999795960008,1.0
Flyweight,0.55,1,94,66,0.7021276595744681,0.6032259537764624,0.7851569017778213,50,29,0.58,0.4423319668777783,0.7062520276543307,44,37,0.8409090909090909,0.7063350943621745,0.920734234422816
Flyweight,0.55,2,53,37,0.6981132075471698,0.5646291313003242,0.8048185971239281,29,18,0.6206896551724138,0.4400222620928496,0.7731220426913266,24,19,0.7916666666666666,0.5952915551476452,0.9075531089521192
Flyweight,0.55,3,26,19,0.7307692307692307,0.5391659658023868,0.8629572447493261,14,9,0.6428571428571429,0.3876400468214042,0.8365550926279727,12,10,0.8333333333333334,0.5519636426153274,0.9530358523851776
Flyweight,0.55,4,12,8,0.6666666666666666,0.3906175873976139,0.8618821601026385,6,4,0.6666666666666666,0.29998832134152864,0.9032306674407831,6,4,0.6666666666666666,0.29998832134152864,0.9032306674407831
Flyweight,0.55,5,4,2,0.5,0.15003570882017148,0.8499642911798285,3,1,0.3333333333333333,0.0614903152761605,0.7923450448735121,1,1,1.0,0.20654329147389294,1.0
Flyweight,0.6,1,72,52,0.7222222222222222,0.6095334868037199,0.8123985399467706,39,21,0.5384615384615384,0.3856918682173881,0.6843335276595165,33,31,0.9393939393939394,0.8039341828220181,0.9832194695709291
Flyweight,0.6,2,39,28,0.717948717948718,0.5622438267752261,0.8345667498605671,22,13,0.5909090909090909,0.38734477382893806,0.7674444033117963,17,15,0.8823529411764706,0.6566315750229009,0.967120919987079
Flyweight,0.6,3,18,14,0.7777777777777778,0.5478497354769452,0.90999218086618,9,6,0.6666666666666666,0.35419734749908977,0.879418401317257,9,8,0.8888888888888888,0.5649937852319399,0.9801096286728695
Flyweight,0.6,4,5,4,0.8,0.3755282641185388,0.9637768390302125,2,2,1.0,0.34237195288961925,1.0,3,2,0.6666666666666666,0.2076549551264879,0.9385096847238394
Flyweight,0.6,5,0,0,,,,0,0,,,,0,0,,,
Flyweight,0.65,1,54,40,0.7407407407407407,0.610688551197827,0.8388149203520608,27,15,0.5555555555555556,0.37312719479576884,0.7241440232992717,27,25,0.9259259259259259,0.7663002270926937,0.9794457783026165
Flyweight,0.65,2,28,19,0.6785714285714286,0.4933850455563118,0.8206695245657927,16,9,0.5625,0.33178195606776517,0.7690163666481448,12,10,0.8333333333333334,0.5519636426153274,0.9530358523851776
Flyweight,0.65,3,14,11,0.7857142857142857,0.5241027622679172,0.9242875166308363,6,4,0.6666666666666666,0.29998832134152864,0.9032306674407831,8,7,0.875,0.5291051942301386,0.9775830911367038
Flyweight,0.65,4,4,3,0.75,0.3006360524426366,0.9544139373553637,2,2,1.0,0.34237195288961925,1.0,2,1,0.5,0.09452865480086614,0.9054713451991339
Flyweight,0.65,5,0,0,,,,0,0,,,,0,0,,,
Flyweight,0.7,1,40,30,0.75,0.598057409330299,0.8581303210445048,21,13,0.6190476190476191,0.40878295815501514,0.7924923220201749,19,17,0.8947368421052632,0.686054495051583,0.9706420586049034
