family,rule,n,wins,win_rate,roi,profit100,pre2020_n,pre2020_roi,recent_n,recent_roi,existing_overlap
RING_RUST_EDGE,mkt 0.550-0.700; layoff_gap>=90; opp_layoff>=180; fav_layoff<=120,86,52,0.6046511627906976,-0.03826621480998886,-329.0894473659042,41,-0.17626972087078724,45,0.08747031293429411,0.08139534883720931
RING_RUST_EDGE,mkt 0.650-0.725; layoff_gap>=90; opp_layoff>=180; fav_layoff<=180,80,54,0.675,-0.05832843436635751,-466.6274749308601,35,0.002415888927193726,45,-0.1055740191502307,0.3625
RING_RUST_EDGE,mkt 0.650-0.750; layoff_gap>=90; opp_layoff>=180; fav_layoff<=180,103,71,0.6893203883495146,-0.05222208123518061,-537.8874367223602,48,0.0050693850005919215,55,-0.10222190631367302,0.4563106796116505
RING_RUST_EDGE,mkt 0.650-0.775; layoff_gap>=90; opp_layoff>=180; fav_layoff<=180,119,83,0.6974789915966386,-0.05128206793253797,-610.2566083972018,58,0.009103038362417706,61,-0.10869741490151222,0.4957983193277311
RING_RUST_EDGE,mkt 0.650-0.800; layoff_gap>=90; opp_layoff>=180; fav_layoff<=180,132,94,0.7121212121212122,-0.0424835982219404,-560.7834965296133,62,0.00363952651007871,70,-0.08333550869887163,0.5303030303030303
RING_RUST_EDGE,mkt 0.550-0.700; layoff_gap>=90; opp_layoff>=180; fav_layoff<=240,228,136,0.5964912280701754,-0.0772366120528591,-1760.9947548051875,101,-0.13848786333825955,127,-0.028524987014863484,0.09649122807017543
RING_RUST_EDGE,mkt 0.550-0.725; layoff_gap>=90; opp_layoff>=180; fav_layoff<=240,257,162,0.6303501945525292,-0.045370838145424745,-1166.030540337416,115,-0.11409644254703896,142,0.010287221757290977,0.14785992217898833
RING_RUST_EDGE,mkt 0.550-0.750; layoff_gap>=90; opp_layoff>=180; fav_layoff<=240,287,183,0.6376306620209059,-0.04940142749492669,-1417.820969104396,134,-0.11236922587724935,153,0.005746840369329757,0.21254355400696864
RING_RUST_EDGE,mkt 0.550-0.775; layoff_gap>=90; opp_layoff>=180; fav_layoff<=240,307,198,0.6449511400651465,-0.04910773805200828,-1507.607558196654,146,-0.10613049825193024,161,0.0026023426261818127,0.247557003257329
RING_RUST_EDGE,mkt 0.550-0.800; layoff_gap>=90; opp_layoff>=180; fav_layoff<=240,324,213,0.6574074074074074,-0.0422206694257514,-1367.9496893943453,153,-0.09881859087164963,171,0.00841957607847333,0.27469135802469136
RING_RUST_EDGE,mkt 0.575-0.700; layoff_gap>=90; opp_layoff>=180; fav_layoff<=240,193,116,0.6010362694300518,-0.08805796923209085,-1699.5188061793533,86,-0.08824438699611534,107,-0.08790813813203378,0.11398963730569948
RING_RUST_EDGE,mkt 0.575-0.725; layoff_gap>=90; opp_layoff>=180; fav_layoff<=240,222,142,0.6396396396396397,-0.04975471133835955,-1104.554591711582,100,-0.06722833977411183,122,-0.03543206507954619,0.17117117117117117
RING_RUST_EDGE,mkt 0.575-0.750; layoff_gap>=90; opp_layoff>=180; fav_layoff<=240,252,163,0.6468253968253969,-0.053823215098355616,-1356.3450204785615,119,-0.07276654917691694,133,-0.03687391618595864,0.24206349206349206
RING_RUST_EDGE,mkt 0.575-0.775; layoff_gap>=90; opp_layoff>=180; fav_layoff<=240,272,178,0.6544117647058824,-0.05316660329304488,-1446.1316095708207,131,-0.06944118953651544,141,-0.03804624302428852,0.27941176470588236
RING_RUST_EDGE,mkt 0.575-0.800; layoff_gap>=90; opp_layoff>=180; fav_layoff<=240,289,193,0.6678200692041523,-0.04520670383282045,-1306.473740768511,138,-0.06319556150626159,151,-0.028766555760404072,0.3079584775086505
RING_RUST_EDGE,mkt 0.600-0.700; layoff_gap>=90; opp_layoff>=180; fav_layoff<=240,159,95,0.5974842767295597,-0.11074545360856101,-1760.85271237612,69,-0.10519782908896609,90,-0.11499863240691709,0.13836477987421383
RING_RUST_EDGE,mkt 0.600-0.725; layoff_gap>=90; opp_layoff>=180; fav_layoff<=240,188,121,0.6436170212765957,-0.062015345633422786,-1165.8884979083484,83,-0.07701767352872202,105,-0.05015636263047197,0.20212765957446807
RING_RUST_EDGE,mkt 0.600-0.750; layoff_gap>=90; opp_layoff>=180; fav_layoff<=240,218,142,0.6513761467889908,-0.06503114342547377,-1417.678926675328,102,-0.08165541448554764,116,-0.05041324990713294,0.2798165137614679
