track,price_band,venue,concept,conditions,full_n,full_wins,full_win_pct,full_roi,train_n,train_roi,validation_n,validation_roi,holdout_n,holdout_roi,positive_season_ratio,recent_delta,weather_research_only,preferred,score
LONG,FAV65_75,AWAY,RUN_HEAVY,"[[""opp_recent3_run_rate"", ""<="", 0.4646708161655124], [""recent_edge_penalty_yards"", ""<="", -17.75]]",72,58,0.8055555555555556,0.15461572901114376,29,0.19104035119870372,24,0.06573503578192573,19,0.21129060238282782,0.7777777777777778,0.08290290889251309,False,False,0.37682694539751427
LONG,DOG35_44,ANY,RUN_HEAVY,"[[""opp_pre_run_rate"", ""<="", 0.42908438061041293], [""recent_edge_third_down_success"", "">="", 0.0685915449073343]]",185,90,0.4864864864864865,0.20172972972972972,57,0.07982456140350876,75,0.25560000000000005,53,0.2566037735849056,0.75,0.08889149288315121,False,False,0.3750233384072089
LONG,FAV65_75,ANY,RUN_HEAVY,"[[""opp_pre_run_rate"", ""<="", 0.38645418326693226], [""rank_edge_def_allowed_sack_or_hit_rate"", ""<="", -8.0]]",88,72,0.8181818181818182,0.16810930411071706,32,0.20576286356314694,34,0.09227289823441562,22,0.23054220853419405,0.7,0.08152432763541279,False,False,0.37480560723186396
LONG,PK_55,AWAY,RUN_HEAVY,"[[""opp_pre_run_rate"", "">="", 0.4262295081967213], [""rank_edge_def_allowed_off_epa_per_play"", ""<="", -7.0]]",77,46,0.5974025974025974,0.22055872685810254,28,0.29039407306255577,21,0.08217986565695463,28,0.2545075265545102,0.7368421052631579,0.068220557194755,False,False,0.3746423682712891
LONG,DOG35_44,HOME,RUN_HEAVY,"[[""opp_recent3_run_rate"", "">="", 0.39355389066093016], [""recent_edge_off_epa_per_play"", ""<="", -0.20080270924992735]]",91,46,0.5054945054945055,0.27912087912087913,35,0.31,30,0.2676666666666667,26,0.2507692307692308,0.8,-0.038064102564102587,False,False,0.3744532326102251
MODERN,DOG35_44,HOME,RUN_HEAVY,"[[""opp_recent3_run_rate"", ""<="", 0.42376916868442294], [""rank_edge_sack_or_hit_rate"", ""<="", -13.0]]",81,37,0.4567901234567901,0.16506172839506172,23,0.41347826086956513,17,0.07058823529411765,19,0.3557894736842105,0.65,0.11375622560236909,False,False,0.3705049940101773
MODERN,DOG35_44,HOME,RUN_HEAVY,"[[""recent3_run_rate_edge"", ""<="", 0.04841965668144148], [""rank_edge_sack_or_hit_rate"", ""<="", -13.0]]",105,48,0.45714285714285713,0.15723809523809523,32,0.16218749999999998,22,0.18636363636363634,22,0.37000000000000005,0.55,0.1957244318181819,False,False,0.37019506391614243
LONG,DOG20_34,AWAY,RUN_HEAVY,"[[""recent3_run_rate"", "">="", 0.42857142857142855], [""rank_edge_sack_or_hit_rate"", "">="", 4.0]]",122,46,0.3770491803278688,0.3397540983606558,52,0.07711538461538463,36,0.7472222222222222,34,0.31000000000000005,0.7,-0.10216880341880336,False,False,0.3682844949261794
LONG,DOG20_34,AWAY,RUN_HEAVY,"[[""recent3_run_rate"", "">="", 0.42857142857142855], [""rank_edge_punt_return_average"", ""<="", -1.0]]",224,80,0.35714285714285715,0.26330357142857147,101,0.23356435643564355,59,0.32576271186440675,64,0.25265625,0.8,-0.027007284150025124,False,False,0.3681430542644217
LONG,FAV65_75,ANY,RUN_HEAVY,"[[""opp_pre_run_rate"", ""<="", 0.42286348501664817], [""rank_edge_def_allowed_sack_or_hit_rate"", ""<="", -8.0]]",166,132,0.7951807228915663,0.1408896803150641,65,0.16832132628207133,60,0.07757460578703992,41,0.19005669211569798,0.75,0.06710872608114235,False,False,0.3680998207063529
MODERN,FAV65_75,AWAY,RUN_HEAVY,"[[""pre_run_rate"", ""<="", 0.4762105754723759], [""recent_edge_kick_return_average"", "">="", 4.361111111111111]]",76,62,0.8157894736842105,0.1636182081030756,28,0.18003443295204233,17,0.08995996608626393,19,0.17978988635778528,0.7894736842105263,0.04479268683863216,False,False,0.3673564250491427
LONG,DOG35_44,HOME,RUN_HEAVY,"[[""pre_run_rate"", "">="", 0.38770076720784163], [""fatigue_load_index"", ""<="", 0.4862615627556815]]",92,48,0.5217391304347826,0.2751086956521739,41,0.2614634146341464,18,0.32944444444444443,33,0.26242424242424245,0.7222222222222222,-0.03302968711505294,False,False,0.36556534143061026
MODERN,FAV65_75,AWAY,RUN_HEAVY,"[[""recent3_run_rate"", ""<="", 0.4852340694731999], [""recent_edge_penalty_yards"", ""<="", 0.3333333333333357]]",175,133,0.76,0.09445072074669379,50,0.06565864710213228,27,0.15950020987918712,49,0.20954175652401655,0.75,0.09696232803335686,False,False,0.3652619859436385
MODERN,DOG35_49,HOME,RUN_HEAVY,"[[""recent3_run_rate_edge"", ""<="", -0.036953242835595757], [""recent_edge_pass_epa_per_dropback"", ""<="", -0.25948296791485986]]",100,48,0.48,0.1618,39,0.23948717948717949,18,0.16888888888888895,24,0.30625,0.6842105263157895,0.1020619658119658,False,False,0.363938189608637
LONG,DOG20_34,AWAY,RUN_HEAVY,"[[""recent3_run_rate"", "">="", 0.42857142857142855], [""rank_edge_points_against"", "">="", -5.0]]",268,92,0.34328358208955223,0.2330223880597015,128,0.1959375,75,0.23039999999999997,65,0.3090769230769231,0.6,0.09590817307692312,False,False,0.3614059563174247
