method_id,depth,features,pre_roi,pre_improvement,pre_retained,score
US002,2,FEATURE:recent_edge_redzone_epa <= -0.3653143833846243 | FEATURE:rank_edge_def_allowed_success_rate >= 10.600000000000001,0.9790625000000001,0.673462769541779,0.5970149253731343,0.9660027985074627
US002,2,FEATURE:adv_staff_downgrade_count >= 0.8000000000000043 | FEATURE:adv_staff_downgrade_count >= 1.0,0.6812499999999999,0.3756502695417789,0.6268656716417911,0.6687873134328357
US002,3,FEATURE:rank_edge_def_allowed_success_rate >= 5.800000000000004 | FEATURE:rank_edge_early_down_epa <= -13.6 | FEATURE:rank_edge_def_allowed_success_rate >= 10.600000000000001,1.0527620967741935,0.7471623663159725,0.582089552238806,1.0144038878189696
US003,1,FEATURE:adv_prev_travel_miles <= 0.0,0.6255757575757576,0.27565967365967364,0.5925925925925926,0.6374276094276095
US003,1,FEATURE:adv_prev_travel_miles <= 0.0,0.6255757575757576,0.27565967365967364,0.5925925925925926,0.6374276094276095
US003,1,FEATURE:opp_prev_travel_miles <= 0.0,0.6144753577106519,0.26455927379456795,0.6666666666666666,0.6278086910439852
US003,1,FEATURE:recent_edge_def_allowed_success_rate >= -0.0071507256101396195,0.5938194444444445,0.24390336052836054,0.6419753086419753,0.6066589506172839
US003,1,FEATURE:opp_prev_travel_miles <= 189.97587332644488,0.5789444444444445,0.22902836052836056,0.6296296296296297,0.5915370370370371
US003,2,FEATURE:adv_prev_travel_miles <= 0.0 | FEATURE:adv_prev_travel_miles <= 0.0,0.6255757575757576,0.27565967365967364,0.5925925925925926,0.6124276094276094
US003,2,FEATURE:adv_prev_travel_miles <= 0.0 | FEATURE:opp_prev_travel_miles <= 0.0,0.6255757575757576,0.27565967365967364,0.5925925925925926,0.6124276094276094
US003,2,FEATURE:adv_prev_travel_miles <= 0.0 | FEATURE:opp_prev_travel_miles <= 0.0,0.6255757575757576,0.27565967365967364,0.5925925925925926,0.6124276094276094
US003,2,FEATURE:opp_prev_travel_miles <= 0.0 | FEATURE:opp_prev_travel_miles <= 189.97587332644488,0.5789444444444445,0.22902836052836056,0.6296296296296297,0.5665370370370371
US003,3,FEATURE:adv_prev_travel_miles <= 0.0 | FEATURE:adv_prev_travel_miles <= 0.0 | FEATURE:opp_prev_travel_miles <= 0.0,0.6255757575757576,0.27565967365967364,0.5925925925925926,0.5874276094276094
US004,1,FEATURE:rank_edge_giveaway_rate <= -5.0,0.4227967097532315,0.14645242096012812,0.6666666666666666,0.43613004308656483
US004,1,FEATURE:rank_edge_passing_cpoe <= -9.0,0.42031936813186815,0.14397507933876474,0.7722222222222223,0.4357638125763126
US004,1,FEATURE:recent_edge_passing_cpoe <= -3.7346978184657593,0.4006666666666667,0.12432237787356332,0.6833333333333333,0.4143333333333334
US004,1,FEATURE:recent_edge_def_allowed_early_down_epa >= 0.05838916673409015,0.39906231884057974,0.12271803004747633,0.6722222222222223,0.41250676328502417
US004,1,FEATURE:rank_edge_def_allowed_giveaway_rate >= 4.0,0.38647095959595956,0.11012667080285615,0.6444444444444445,0.39935984848484846
US004,1,FEATURE:adv_prior_road_miles_last5 <= -430.23797586068486,0.35957076308784386,0.08322647429474045,0.7833333333333333,0.3752374297545105
US004,1,FEATURE:recent_edge_off_epa <= -7.938712332596935,0.3552312252964427,0.07888693650333928,0.8166666666666667,0.371564558629776
US004,1,FEATURE:recent_edge_def_allowed_pass_epa_per_dropback >= 0.1877450644570417,0.35302795031055906,0.07668366151745565,0.8222222222222222,0.3694723947550035
US004,1,FEATURE:rank_edge_fg_accuracy <= -5.875,0.3521659574468085,0.0758216686537051,0.6777777777777778,0.36572151300236405
US004,1,FEATURE:rank_edge_fg_accuracy <= -12.5,0.3518863636363637,0.07554207484326031,0.8166666666666667,0.36821969696969703
US004,1,FEATURE:rank_edge_off_epa <= -7.0,0.3470326797385621,0.0706883909454587,0.7833333333333333,0.3626993464052288
US004,1,FEATURE:recent_edge_giveaway_rate <= -0.016206011594845,0.34633498023715414,0.06999069144405073,0.8166666666666667,0.36266831357048745
US004,2,FEATURE:rank_edge_giveaway_rate <= -5.0 | FEATURE:recent_edge_giveaway_rate <= -0.016206011594845,0.4148723776223776,0.1385280888292742,0.6055555555555555,0.4019834887334887
US004,2,FEATURE:rank_edge_passing_cpoe <= -9.0 | FEATURE:recent_edge_passing_cpoe <= -3.7346978184657593,0.43467914438502675,0.15833485559192334,0.6222222222222222,0.42212358882947115
US004,2,FEATURE:rank_edge_passing_cpoe <= -9.0 | FEATURE:adv_prior_road_miles_last5 <= -430.23797586068486,0.41681739431739434,0.14047310552429093,0.6277777777777778,0.40437294987294986
US004,2,FEATURE:rank_edge_passing_cpoe <= -9.0 | FEATURE:recent_edge_off_epa <= -7.938712332596935,0.4811851520572451,0.2048408632641417,0.6722222222222223,0.4696295965016895
US004,2,FEATURE:rank_edge_passing_cpoe <= -9.0 | FEATURE:recent_edge_def_allowed_pass_epa_per_dropback >= 0.1877450644570417,0.44472754946727555,0.16838326067417214,0.6555555555555556,0.43283866057838666
US004,2,FEATURE:rank_edge_passing_cpoe <= -9.0 | FEATURE:rank_edge_fg_accuracy <= -12.5,0.47527076411960134,0.19892647532649793,0.6277777777777778,0.46282631967515686
US004,2,FEATURE:rank_edge_passing_cpoe <= -9.0 | FEATURE:rank_edge_off_epa <= -7.0,0.45186004784688993,0.17551575905378652,0.6666666666666666,0.4401933811802232
US004,2,FEATURE:rank_edge_passing_cpoe <= -9.0 | FEATURE:recent_edge_giveaway_rate <= -0.016206011594845,0.5235714285714286,0.24722713977832517,0.6111111111111112,0.5107936507936508
US004,2,FEATURE:recent_edge_passing_cpoe <= -3.7346978184657593 | FEATURE:recent_edge_off_epa <= -7.938712332596935,0.4576968629961588,0.1813525742030554,0.6388888888888888,0.44547464077393656
US004,2,FEATURE:recent_edge_passing_cpoe <= -3.7346978184657593 | FEATURE:rank_edge_off_epa <= -7.0,0.4396520146520146,0.16330772585891118,0.5944444444444444,0.42654090354090346
US004,2,FEATURE:recent_edge_def_allowed_early_down_epa >= 0.05838916673409015 | FEATURE:recent_edge_def_allowed_pass_epa_per_dropback >= 0.1877450644570417,0.4581904591104734,0.18184617031737,0.6055555555555555,0.4453015702215845
US004,2,FEATURE:adv_prior_road_miles_last5 <= -430.23797586068486 | FEATURE:recent_edge_off_epa <= -7.938712332596935,0.40946267696267696,0.13311838816957355,0.6444444444444445,0.39735156585156584
US004,2,FEATURE:adv_prior_road_miles_last5 <= -430.23797586068486 | FEATURE:recent_edge_def_allowed_pass_epa_per_dropback >= 0.1877450644570417,0.41343399750933996,0.13708970871623655,0.65,0.40143399750933995
US004,2,FEATURE:adv_prior_road_miles_last5 <= -430.23797586068486 | FEATURE:rank_edge_fg_accuracy <= -12.5,0.40307221542227656,0.12672792662917315,0.6611111111111111,0.3912944376444988
US004,2,FEATURE:adv_prior_road_miles_last5 <= -430.23797586068486 | FEATURE:rank_edge_off_epa <= -7.0,0.3966716085989622,0.12032731980585881,0.6055555555555555,0.38378271971007333
US004,2,FEATURE:adv_prior_road_miles_last5 <= -430.23797586068486 | FEATURE:recent_edge_giveaway_rate <= -0.016206011594845,0.46157677773960837,0.18523248894650496,0.6222222222222222,0.44902122218405277
US004,2,FEATURE:recent_edge_off_epa <= -7.938712332596935 | FEATURE:recent_edge_def_allowed_pass_epa_per_dropback >= 0.1877450644570417,0.4306880860452289,0.1543437972521255,0.6833333333333333,0.41935475271189554
US004,2,FEATURE:recent_edge_off_epa <= -7.938712332596935 | FEATURE:rank_edge_fg_accuracy <= -12.5,0.41347222222222224,0.13712793342911883,0.6666666666666666,0.4018055555555555
